city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Amsterdam,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.09614080085606,0.8920126467563134,14,35,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,84d726f17aa40164,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-0.4220 paired_delta_mean=+0.4220,-1.5181200193826627,0.9250216107482233,16,35,3,0.42197921852660275,"4,5",-0.4219792185266027,0.03300896399190989
Ankara,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.7386942732567654,1.518696311294813,0,38,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,83e29eb43ed0ac48,VERIFIED,REPRODUCIBLE,within_tolerance,-0.7386942732567654,1.518696311294813,0,38,0,,"1,2",0.0,0.0
Ankara,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.6134601771381776,1.2529723058514042,15,64,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,07556bfc068da5d8,VERIFIED,REPRODUCIBLE,within_tolerance,-1.6134601771381776,1.2217792786935815,16,64,0,,"3,4,5",0.0,-0.031193027157822684
Atlanta,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.3395863281481402,2.291970321744011,0,76,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,89cc5ca6d21f91fd,VERIFIED,REPRODUCIBLE,within_tolerance,-0.3395863281481402,2.291970321744011,0,76,0,,"1,2,12",0.0,0.0
Atlanta,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.6197626473948341,1.1984430829892683,13,63,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,2c4097168522e262,VERIFIED,REPRODUCIBLE,within_tolerance,-0.6197626473948341,1.203105297447899,14,63,0,,"3,4,5",0.0,0.004662214458630798
Austin,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.0815079773723357,1.879996732022324,13,42,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,c8c3cbce128603ba,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+2.4942 paired_delta_mean=-2.4942,0.4126502999522653,1.7652977602931461,15,42,1,-2.494158277324601,"3,4,5",2.494158277324601,-0.11469897172917798
Beijing,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.7422238103943999,3.2271899983584547,14,47,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,bc4117c8d2ded5c6,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+1.7444 paired_delta_mean=-1.7444,0.0021416573503142554,3.1635922514538173,15,47,2,-1.7443654677447142,"3,4,5",1.7443654677447142,-0.06359774690463738
Buenos Aires,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.875975441265909,1.2766809275744473,0,75,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,a1dad24bf02b9de2,VERIFIED,REPRODUCIBLE,within_tolerance,-1.875975441265909,1.2766809275744473,0,75,0,,"1,2,12",0.0,0.0
Buenos Aires,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,0.6249938410784832,0.8860155047839857,14,66,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,54d706b38f8a397a,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.2195 paired_delta_mean=+2.2195,-1.5945083274647143,0.8718643864906516,16,66,1,2.2195021685431975,"3,4,5",-2.2195021685431975,-0.014151118293334153
Busan,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,1.1112245917654398,1.5677594379864614,13,34,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,126e029d6a68f9e2,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-5.0293 paired_delta_mean=+5.0293,-3.9181022024288006,1.5315328395466699,15,34,1,5.02932679419424,"4,5",-5.02932679419424,-0.03622659843979159
Cape Town,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.8838207061277753,1.2069463276067613,13,26,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,c730031f262301e4,VERIFIED,REPRODUCIBLE,within_tolerance,-0.8838207061277753,1.289213602224862,14,26,0,,"4,5",0.0,0.08226727461810057
Chengdu,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.34460886353922293,2.194321935627678,14,46,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ea58147758084854,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-0.3910 paired_delta_mean=+0.3910,-0.7356144356899584,2.1218336488160485,15,46,2,0.3910055721507355,"3,4,5",-0.3910055721507355,-0.07248828681162944
Chicago,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.4463510525771766,1.369591511601212,0,40,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,0b42921c6aabe3b8,VERIFIED,REPRODUCIBLE,within_tolerance,-1.4463510525771766,1.369591511601212,0,40,0,,"1,2,12",0.0,0.0
Chicago,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.273080773803233,1.853565512993576,15,68,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,b73a56fc000dbffd,VERIFIED,NON_REPRODUCIBLE,bias_diff delta_bias=+0.0573,-2.2157626779838404,1.792353835320067,16,69,5,-2.0618870155484075,"3,4,5",0.0573180958193924,-0.06121167767350899
Chongqing,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.25428732157110506,2.0007594541483638,14,47,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,76135800e9d738fd,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.5180 paired_delta_mean=-0.5180,0.2637256789171744,1.928016100309348,15,47,2,-0.5180130004882795,"3,4,5",0.5180130004882795,-0.07274335383901587
Dallas,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.2004916227015754,1.5679715131019747,0,77,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,b8cd1b5939688376,VERIFIED,REPRODUCIBLE,within_tolerance,-1.2004916227015754,1.5679715131019747,0,77,0,,"1,2,12",0.0,0.0
Dallas,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-10.020718510616314,2.118128229981513,13,65,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,6730621a4a4046af,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+9.8737 paired_delta_mean=-9.8737,-0.1469766127341165,2.0128258096884903,15,65,1,-9.873741897882198,"3,4,5",9.873741897882198,-0.10530242029302261
Denver,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.6320920657488047,1.4630519156156643,0,2,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,303ec9f2bea484d2,VERIFIED,COVERAGE_MISLABELED,"coverage_months=(12,) expected=(1, 2, 12)",-2.6320920657488047,1.4630519156156643,0,2,0,,12,0.0,0.0
Denver,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,0.8670239132437061,1.4172290648048274,15,43,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,981cbfdcf6883749,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.1353 paired_delta_mean=+2.1353,-1.2682706831104604,1.4025951959484972,15,43,1,2.1352945963541665,"3,4,5",-2.1352945963541665,-0.014633868856330112
Guangzhou,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.7922113489221405,2.3165364410976053,13,22,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,1fdb91b29b18ecb2,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+1.9188 paired_delta_mean=-1.9188,-0.873362675419535,2.152582990826449,15,22,1,-1.9188486735026054,"4,5",1.9188486735026054,-0.16395345027115615
Helsinki,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.47269763515004093,1.1527486091421526,13,32,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,9670265edac53ee3,VERIFIED,REPRODUCIBLE,within_tolerance,-0.47269763515004093,1.1391065655730614,15,32,0,,"4,5",0.0,-0.013642043569091156
Hong Kong,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.1082374738096545,1.3557695809394752,0,46,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,fe9ab178fe911901,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+2.7351 paired_delta_mean=-2.7351,0.6268801205913846,1.3557695809394752,0,46,1,-2.7351175944010393,"3,4,5",2.7351175944010393,0.0
Hong Kong,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-1.9157040465111592,0.7383910173721009,0,5,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,7fab28afde9b8c35,VERIFIED,REPRODUCIBLE,within_tolerance,-1.9157040465111592,0.7383910173721009,0,5,0,,"4,5",0.0,0.0
Houston,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.409888447566503,1.8686644045779148,14,43,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,5d4c774413a9a223,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.2214 paired_delta_mean=+2.2214,-2.6312626600933107,1.7440400101545799,16,43,1,2.2213742125268077,"3,4,5",-2.2213742125268077,-0.12462439442333495
Istanbul,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.3748304578992827,0.9391169966309414,12,36,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,c23e13d6c2e1e486,VERIFIED,REPRODUCIBLE,within_tolerance,-2.3748304578992827,0.9391169966309414,12,36,0,,"3,4,5",0.0,0.0
Jakarta,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.7486044320071534,0.8623954555411125,10,34,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,ed3bedfa5882ebc4,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-2.0506 paired_delta_mean=+2.0506,-3.7991915064365336,1.0521551178421202,12,34,1,2.05058707442938,"4,5",-2.05058707442938,0.18975966230100771
Jeddah,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-6.987112630208309,1.7718218892866002,14,29,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,622fe9b5b0537963,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.3175 paired_delta_mean=-0.1509,-6.669599740022124,1.8608951057735021,16,30,4,-0.150875315946692,"4,5",0.317512890186185,0.08907321648690192
Karachi,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,1.3744313491455893,0.845497014988802,13,22,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,9f2e20c6b7891838,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=-1.8315 paired_delta_mean=+1.8315,-0.45705208040787604,0.8720396259461625,15,22,1,1.8314834295534652,"4,5",-1.8314834295534652,0.026542610957360435
Kuala Lumpur,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-3.1340456302070736,1.3913163746165194,13,37,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,8485d3de92896f7c,VERIFIED,REPRODUCIBLE,within_tolerance,-3.0947066120072666,1.3415602603686727,15,38,5,0.5464913760914513,"4,5",0.03933901819980701,-0.04975611424784665
Lagos,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.5797166848139934,1.9357294349816554,7,26,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,71d9327d8fbfbd27,VERIFIED,REPRODUCIBLE,within_tolerance,-2.5797166848139934,1.9357294349816554,7,26,0,,"4,5",0.0,0.0
London,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.6282183809880939,0.7619848449887966,0,116,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,bc4aa4d1f67e1e55,VERIFIED,REPRODUCIBLE,within_tolerance,-0.6282183809880939,0.7619848449887966,0,116,0,,"1,2,12",0.0,0.0
London,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.11556017723545965,1.1519316966282973,0,92,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,3f0b6692ec729af9,VERIFIED,REPRODUCIBLE,within_tolerance,-0.11556017723545965,1.1519316966282973,0,92,0,,"6,7,8",0.0,0.0
London,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.2746925209156782,1.162470656614924,15,156,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,0495812dba5cbc55,VERIFIED,REPRODUCIBLE,within_tolerance,-0.2746925209156782,1.1786981933958267,16,156,0,,"3,4,5",0.0,0.016227536780902607
London,MAM,0,low,full_transport_v1,ecmwf_opendata_mn2t3_local_calendar_day_min_v1,tigge_mn2t6_local_calendar_day_min_v1,2026-05-27,-0.38841607336902206,0.5,2,10,,,eba9bc58768df75e4e365ca3887d9d00a98a76af,baac2c7bf323a54b,VERIFIED,NON_REPRODUCIBLE,sd_diff delta_sd=+0.9090,-0.38841607336902206,1.4089801398336623,3,10,0,,"4,5",0.0,0.9089801398336623
London,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-0.6874737375050658,0.8451217363586283,0,91,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,d99350bdd64fead4,VERIFIED,REPRODUCIBLE,within_tolerance,-0.6874737375050658,0.8451217363586283,0,91,0,,"9,10,11",0.0,0.0
Los Angeles,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.3932786530139154,0.5,0,2,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,a5ce6773ebc988fa,VERIFIED,COVERAGE_MISLABELED,"coverage_months=(12,) expected=(1, 2, 12)",-2.3932786530139154,0.5,0,2,0,,12,0.0,0.0
Los Angeles,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-2.0484069567768275,0.8421757788620144,14,43,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,e380e20e039cbb3a,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+0.9857 paired_delta_mean=-0.9857,-1.0626891833393277,0.8079843803000404,16,43,1,-0.9857177734375,"3,4,5",0.9857177734374998,-0.03419139856197406
Lucknow,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-25,-1.7549553725298495,1.4984347529032311,14,62,,,5a3c10dd516a9478e7b415dc0ff5a83571f87844,568f73bd1a96ebaf,VERIFIED,NON_REPRODUCIBLE,pregate_ungated_paired_delta delta_bias=+1.5705 paired_delta_mean=-1.5705,-0.184458869485269,1.448329302908689,15,62,1,-1.5704965030445805,"3,4,5",1.5704965030445805,-0.05010544999454214
